Date,Interviewee,Party,Senior,min_start,sec_start,min_stop,sec_stop,Elapsed,Notes
25/03/19,Anne Marie Morris,Con,0,10,0,13,46,3.76666666666667,
25/03/19,Ed Vaizey,Con,1,14,3,21,20,7.28333333333333,
26/03/19,Steven Kinnock,Lab,0,15,16,20,47,5.51666666666667,
26/03/19,David Davies,Con,0,34,51,35,32,0.68333333333333,
26/03/19,Chris Philp,Con,1,35,51,40,17,4.43333333333333,
26/03/19,Jacob Rees-Mogg,Con,0,46,45,48,3,1.3,Podcast
26/03/19,Sammy Wilson,DUP,1,48,30,48,57,0.450000000000003,
26/03/19,Nigel Evans,Con,0,49,10,52,46,3.6,
27/03/19,Margot James,Con,1,38,0,46,1,8.01666666666667,
27/03/19,Anne Marie Morris,Con,0,50,16,55,23,5.11666666666667,
28/03/19,Rory Stewart,Con,1,13,35,19,23,5.8,
28/03/19,Tony Lloyd,Lab,1,28,28,32,44,4.26666666666667,Terminated by technical difficulties
29/03/19,Chris Grayling,Con,1,12,29,17,22,4.88333333333333,
29/03/19,Richard Burgon,Lab,1,23,13,27,6,3.88333333333334,
29/03/19,Dominic Greive,Con,0,37,25,40,49,3.40000000000001,
29/03/19,John Baron,Con,0,43,58,44,25,0.449999999999996,Terminated by technical difficulties
29/03/19,John Baron,Con,0,54,21,57,14,2.88333333333333,
